# Station: FINO2
# Parameter: winddirection_vane_51m_0deg
# Unit: degree
# Titles:
Time	Value	Deviation	Quality
# Data:
2020-10-04 06:35:00	257	-99.999	2
2020-10-04 06:45:00	240	-99.999	2
2020-10-04 06:55:00	238	-99.999	2
2020-10-04 07:05:00	243	-99.999	2
2020-10-04 07:15:00	230	-99.999	2
2020-10-04 07:25:00	228	-99.999	2
2020-10-04 07:35:00	235	-99.999	2
2020-10-04 07:45:00	239	-99.999	2
2020-10-04 07:55:00	238	-99.999	2
2020-10-04 08:05:00	243	-99.999	2
2020-10-04 08:15:00	245	-99.999	2
2020-10-04 08:25:00	232	-99.999	2
2020-10-04 08:35:00	231	-99.999	2
2020-10-04 08:45:00	236	-99.999	2
2020-10-04 08:55:00	232	-99.999	2
2020-10-04 09:05:00	227	-99.999	2
2020-10-04 09:15:00	226	-99.999	2
2020-10-04 09:25:00	235	-99.999	2
2020-10-04 09:35:00	230	-99.999	2
2020-10-04 09:45:00	230	-99.999	2
2020-10-04 09:55:00	213	-99.999	2
2020-10-04 10:05:00	205	-99.999	2
2020-10-04 10:15:00	205	-99.999	2
2020-10-04 10:25:00	212	-99.999	2
2020-10-04 10:35:00	218	-99.999	2
2020-10-04 10:45:00	219	-99.999	2
2020-10-04 10:55:00	215	-99.999	2
2020-10-04 11:05:00	218	-99.999	2
2020-10-04 11:15:00	223	-99.999	2
2020-10-04 11:25:00	228	-99.999	2
2020-10-04 11:35:00	214	-99.999	2
2020-10-04 11:45:00	199	-99.999	2
2020-10-04 11:55:00	198	-99.999	2
2020-10-04 12:05:00	190	-99.999	2
2020-10-04 12:15:00	181	-99.999	2
2020-10-04 12:25:00	182	-99.999	2
2020-10-04 12:35:00	176	-99.999	2
2020-10-04 12:45:00	162	-99.999	2
2020-10-04 12:55:00	154	-99.999	2
2020-10-04 13:05:00	160	-99.999	2
2020-10-04 13:15:00	150	-99.999	2
2020-10-04 13:25:00	149	-99.999	2
2020-10-04 13:35:00	142	-99.999	2
2020-10-04 13:45:00	141	-99.999	2
2020-10-04 13:55:00	143	-99.999	2
2020-10-04 14:05:00	162	-99.999	2
2020-10-04 14:15:00	168	-99.999	2
2020-10-04 14:25:00	166	-99.999	2
2020-10-04 14:35:00	163	-99.999	2
2020-10-04 14:45:00	170	-99.999	2
2020-10-04 14:55:00	157	-99.999	2
2020-10-04 15:05:00	166	-99.999	2
2020-10-04 15:15:00	186	-99.999	2
2020-10-04 15:25:00	190	-99.999	2
2020-10-04 15:35:00	194	-99.999	2
2020-10-04 15:45:00	193	-99.999	2
2020-10-04 15:55:00	189	-99.999	2
2020-10-04 16:05:00	183	-99.999	2
2020-10-04 16:15:00	180	-99.999	2
2020-10-04 16:25:00	169	-99.999	2
2020-10-04 16:35:00	165	-99.999	2
2020-10-04 16:45:00	164	-99.999	2
2020-10-04 16:55:00	165	-99.999	2
2020-10-04 17:05:00	165	-99.999	6
2020-10-04 17:15:00	165	-99.999	6
2020-10-04 17:25:00	165	-99.999	6
2020-10-04 17:35:00	166	-99.999	2
2020-10-04 17:45:00	173	-99.999	2
2020-10-04 17:55:00	177	-99.999	2
2020-10-04 18:05:00	177	-99.999	2
2020-10-04 18:15:00	185	-99.999	2
2020-10-04 18:25:00	189	-99.999	2
2020-10-04 18:35:00	191	-99.999	2
2020-10-04 18:45:00	192	-99.999	2
2020-10-04 18:55:00	196	-99.999	2
2020-10-04 19:05:00	201	-99.999	2
2020-10-04 19:15:00	209	-99.999	2
2020-10-04 19:25:00	211	-99.999	2
2020-10-04 19:35:00	211	-99.999	2
2020-10-04 19:45:00	213	-99.999	2
2020-10-04 19:55:00	212	-99.999	2
2020-10-04 20:05:00	207	-99.999	2
2020-10-04 20:15:00	210	-99.999	2
2020-10-04 20:25:00	209	-99.999	2
