time,capacity
2016-08-18 00:25:00,0.4324
2016-08-18 00:30:00,0.46
2016-08-18 00:35:00,0.4876
2016-08-18 00:40:00,0.5221
2016-08-18 00:45:00,0.57039994
2016-08-18 00:50:00,0.63710004
2016-08-18 00:55:00,0.7084
2016-08-18 01:00:00,0.7796999
2016-08-18 01:05:00,0.8303
2016-08-18 01:10:00,0.8717
2016-08-18 01:15:00,0.9154
2016-08-18 01:20:00,0.97059995
2016-08-18 01:25:00,1.0258
2016-08-18 01:30:00,1.0741
2016-08-18 01:35:00,1.1247
2016-08-18 01:40:00,1.173
2016-08-18 01:45:00,1.2144
2016-08-18 01:50:00,1.2512001
2016-08-18 01:55:00,1.2949001
2016-08-18 02:00:00,1.334
2016-08-18 02:05:00,1.38
2016-08-18 02:10:00,1.4145
2016-08-18 02:15:00,1.472
2016-08-18 02:20:00,1.5479
2016-08-18 02:25:00,1.6399
2016-08-18 02:30:00,1.7157999
2016-08-18 02:35:00,1.7687
2016-08-18 02:40:00,1.8032
2016-08-18 02:45:00,1.8308
2016-08-18 02:50:00,1.8492001
2016-08-18 02:55:00,1.8652999
2016-08-18 03:00:00,1.8745
2016-08-18 03:05:00,1.8814
2016-08-18 03:10:00,1.8906001
2016-08-18 03:15:00,1.8951999
2016-08-18 03:20:00,1.8975
2016-08-18 03:25:00,1.8929
2016-08-18 03:30:00,1.886
2016-08-18 03:35:00,1.8768
2016-08-18 03:40:00,1.8676
2016-08-18 03:45:00,1.8607001
2016-08-18 03:50:00,1.8515
2016-08-18 03:55:00,1.8423
2016-08-18 04:00:00,1.8308
2016-08-18 04:05:00,1.8193
2016-08-18 04:10:00,1.8055
2016-08-18 04:15:00,1.7917
2016-08-18 04:20:00,1.7779
2016-08-18 04:25:00,1.7572
2016-08-18 04:30:00,1.7272999
2016-08-18 04:35:00,1.6928
2016-08-18 04:40:00,1.6445
2016-08-18 04:45:00,1.5800999
2016-08-18 04:50:00,1.5272
2016-08-18 04:55:00,1.4880999
2016-08-18 05:00:00,1.4582
2016-08-18 05:05:00,1.426
2016-08-18 05:10:00,1.3960999
2016-08-18 05:15:00,1.3639001
2016-08-18 05:20:00,1.3362999
2016-08-18 05:25:00,1.3087001
2016-08-18 05:30:00,1.2742001
2016-08-18 05:35:00,1.2328
2016-08-18 05:40:00,1.1867999
2016-08-18 05:45:00,1.1362
2016-08-18 05:50:00,1.0902001
2016-08-18 05:55:00,1.0442
2016-08-18 06:00:00,0.99819994
2016-08-18 06:05:00,0.94759995
2016-08-18 06:10:00,0.8901
2016-08-18 06:15:00,0.84410006
2016-08-18 06:20:00,0.8188
2016-08-18 06:25:00,0.81189996
2016-08-18 06:30:00,0.80730003
2016-08-18 06:35:00,0.79810005
2016-08-18 06:40:00,0.78660005
2016-08-18 06:45:00,0.7774
2016-08-18 06:50:00,0.76129997
2016-08-18 06:55:00,0.71989995
2016-08-18 07:00:00,0.6578001
2016-08-18 07:05:00,0.57960004
2016-08-18 07:10:00,0.47840002
2016-08-18 07:15:00,0.3772
2016-08-18 07:20:00,0.29669997
2016-08-18 07:25:00,0.2438
2016-08-18 07:30:00,0.2024
2016-08-18 07:35:00,0.1725
2016-08-18 07:40:00,0.14720002
2016-08-18 07:45:00,0.1311
2016-08-18 07:50:00,0.1173
2016-08-18 07:55:00,0.1081
2016-08-18 08:00:00,0.10350001
2016-08-18 08:05:00,0.10350001
2016-08-18 08:10:00,0.1081
2016-08-18 08:15:00,0.1081
2016-08-18 08:20:00,0.10350001
2016-08-18 08:25:00,0.0943
2016-08-18 08:30:00,0.085099995
2016-08-18 08:35:00,0.0759
2016-08-18 08:40:00,0.0667
2016-08-18 08:45:00,0.059800003
2016-08-18 08:50:00,0.0575
2016-08-18 08:55:00,0.0552
2016-08-18 09:00:00,0.0552
2016-08-18 09:05:00,0.0529
2016-08-18 09:10:00,0.0506
2016-08-18 09:15:00,0.048299998
2016-08-18 09:20:00,0.0437
2016-08-18 09:25:00,0.036800005
2016-08-18 09:30:00,0.029900001
2016-08-18 09:35:00,0.0161
2016-08-18 09:40:00,0.0
2016-08-18 09:45:00,0.0
2016-08-18 09:50:00,0.0
2016-08-18 09:55:00,0.0
2016-08-18 10:00:00,0.0
2016-08-18 10:05:00,0.0
2016-08-18 10:10:00,0.0
2016-08-18 10:15:00,0.0
2016-08-18 10:20:00,0.0
2016-08-18 10:25:00,0.0
2016-08-18 10:30:00,0.0
2016-08-18 10:35:00,0.0
2016-08-18 10:40:00,0.0
2016-08-18 10:45:00,0.0
2016-08-18 10:50:00,0.0
