,PNW_KL3,WRF Centroid Actual
2016-08-04 03:00:00,0.0,191.35672583333334
2016-08-04 04:00:00,0.0,212.282905
2016-08-04 05:00:00,0.0,212.282905
2016-08-04 06:00:00,0.0,59.215214833333334
2016-08-04 07:00:00,0.0,59.215214833333334
2016-08-04 08:00:00,0.0,59.215214833333334
2016-08-04 09:00:00,0.0,59.215214833333334
2016-08-04 10:00:00,0.0,59.215214833333334
2016-08-04 11:00:00,0.0,59.215214833333334
2016-08-04 12:00:00,0.0,59.215214833333334
2016-08-04 13:00:00,0.0,0.0
2016-08-04 14:00:00,0.0,0.0
2016-08-04 15:00:00,0.0,0.0
2016-08-04 16:00:00,0.0,0.0
2016-08-04 17:00:00,0.0,0.0
2016-08-04 18:00:00,0.0,0.0
2016-08-04 19:00:00,0.0,0.0
2016-08-04 20:00:00,0.0,0.0
2016-08-04 21:00:00,0.0,0.0
2016-08-04 22:00:00,0.0,0.0
2016-08-04 23:00:00,0.0,0.0
2016-08-05 00:00:00,0.0,0.0
2016-08-05 01:00:00,0.0,0.0
2016-08-05 02:00:00,0.0,0.0
2016-08-05 03:00:00,0.0,0.0
2016-08-05 04:00:00,0.0,0.0
2016-08-05 05:00:00,0.0,0.0
2016-08-05 06:00:00,0.0,0.0
2016-08-05 07:00:00,0.0,24.353550808333335
2016-08-05 08:00:00,0.0,24.353550808333335
2016-08-05 09:00:00,0.0,24.353550808333335
2016-08-05 10:00:00,28.47876273532841,24.353550808333335
2016-08-05 11:00:00,28.47876273532841,160.92520583333334
2016-08-05 12:00:00,28.47876273532841,160.92520583333334
2016-08-05 13:00:00,28.47876273532841,284.03864166666665
2016-08-05 14:00:00,28.47876273532841,284.03864166666665
2016-08-05 15:00:00,28.47876273532841,284.03864166666665
2016-08-05 16:00:00,95.18903879813601,284.03864166666665
2016-08-05 17:00:00,95.18903879813601,148.61852083333332
2016-08-05 18:00:00,95.18903879813601,148.61852083333332
2016-08-05 19:00:00,68.3880046337274,185.94998583333333
2016-08-05 20:00:00,83.28539907607195,185.94998583333333
2016-08-05 21:00:00,83.28539907607195,185.94998583333333
2016-08-05 22:00:00,266.88774224573604,185.94998583333333
2016-08-05 23:00:00,266.88774224573604,329.8676575
2016-08-06 00:00:00,266.88774224573604,329.8676575
2016-08-06 01:00:00,266.88774224573604,329.8676575
2016-08-06 02:00:00,266.88774224573604,329.8676575
2016-08-06 03:00:00,266.88774224573604,329.8676575
2016-08-06 04:00:00,266.88774224573604,329.8676575
2016-08-06 05:00:00,272.8313253658116,329.8676575
2016-08-06 06:00:00,272.8313253658116,329.8676575
